txn_id,account_id,bank_id,amount,currency,timestamp,is_dormant_flag,label
sdv-id-lejATy,ACC_299,BANK_BD_01,382016.9709320701,USD,2026-02-07 10:50:22,0,1
sdv-id-ZqmraN,ACC_139,BANK_UK_01,1303.883380829299,USD,2026-04-01 12:06:22,0,0
sdv-id-JPhpck,ACC_154,BANK_BD_02,353465.66019233136,USD,2026-01-25 10:32:00,0,0
sdv-id-dIpWjh,ACC_221,BANK_UK_02,919.3097164931137,USD,2026-01-05 12:59:44,0,0
sdv-id-BTXGVS,ACC_201,BANK_UK_01,1555594.4562682942,USD,2026-02-11 20:24:40,0,0
sdv-id-iPGcCh,ACC_201,BANK_BD_02,622932.8518611896,USD,2026-03-20 05:05:53,0,0
sdv-id-rMRJeX,ACC_224,BANK_UK_02,32065.900605851533,USD,2026-03-03 01:29:35,0,0
sdv-id-GqboLQ,ACC_122,BANK_BD_02,49130.5491112403,USD,2026-03-23 01:09:11,0,0
sdv-id-BCNtAo,ACC_230,BANK_UK_01,2429070.344181788,USD,2026-01-13 21:05:09,1,1
sdv-id-IsXqUx,ACC_194,BANK_BD_02,50187.18436358348,USD,2026-03-30 17:12:53,0,0
sdv-id-IDnzdy,ACC_137,BANK_UK_01,249234.07511415833,USD,2026-03-10 23:29:41,0,0
sdv-id-HLraYJ,ACC_139,BANK_UK_01,36100.46909818097,USD,2026-02-25 05:27:43,1,0
sdv-id-iiCVGP,ACC_125,BANK_BD_02,97357.18677084715,USD,2026-03-20 00:37:03,0,1
sdv-id-rLDFzW,ACC_145,BANK_UK_01,126591.83737764922,USD,2026-03-15 08:30:05,0,0
sdv-id-SEQFSU,ACC_141,BANK_UK_02,865625.0592840986,USD,2026-02-12 06:08:06,0,0
sdv-id-ViWRNf,ACC_158,BANK_UK_01,139157.40201713957,USD,2026-03-20 18:03:56,0,0
sdv-id-KXflHB,ACC_241,BANK_BD_01,2467.043269096626,USD,2026-03-25 17:13:11,0,0
sdv-id-jvIcoI,ACC_286,BANK_BD_01,171795.06393694732,USD,2026-02-26 12:18:41,0,1
sdv-id-bwuELc,ACC_225,BANK_UK_01,11046.629071218353,USD,2026-03-26 04:15:15,0,0
sdv-id-ZYnXss,ACC_148,BANK_UK_02,1476202.6934992578,USD,2026-02-16 00:02:25,0,1
sdv-id-MxijsA,ACC_103,BANK_UK_02,1480.4429988681727,USD,2026-03-26 19:28:35,0,0
sdv-id-oEdSyl,ACC_145,BANK_UK_01,925.1819770612888,USD,2026-03-09 19:46:16,0,0
sdv-id-gIShBE,ACC_296,BANK_UK_01,13868.069403505422,USD,2026-03-25 20:31:59,0,0
sdv-id-VjLsNK,ACC_181,BANK_UK_01,282543.79440449784,USD,2026-01-12 10:04:15,0,0
sdv-id-NhnryO,ACC_224,BANK_UK_01,1806.3691822731619,USD,2026-03-08 13:29:35,0,0
sdv-id-qcRyTe,ACC_131,BANK_UK_02,210015.6026785385,USD,2026-02-24 13:36:24,0,0
sdv-id-npfJqj,ACC_251,BANK_BD_01,564859.6331795743,USD,2026-03-18 16:21:21,0,0
sdv-id-EUpAVh,ACC_236,BANK_BD_01,148438.61597080686,USD,2026-01-25 09:42:25,0,0
sdv-id-EISgrt,ACC_135,BANK_UK_02,19629.00873461064,USD,2026-02-25 15:48:02,0,0
sdv-id-UBStqt,ACC_225,BANK_BD_02,352843.1805027876,USD,2026-01-15 19:58:06,0,0
sdv-id-ruphKh,ACC_160,BANK_UK_01,31571.88177169348,USD,2026-02-03 09:37:03,0,0
sdv-id-zAKmjR,ACC_277,BANK_UK_01,2293943.4480719683,USD,2026-01-21 14:33:53,0,0
sdv-id-GhqUci,ACC_238,BANK_UK_01,121622.16962344367,USD,2026-02-21 05:27:29,0,0
sdv-id-gAZnmo,ACC_282,BANK_BD_02,231157.980546026,USD,2026-03-04 19:06:36,0,0
sdv-id-ACRIkp,ACC_238,BANK_UK_02,101541.02600041966,USD,2026-03-01 19:10:29,1,1
sdv-id-hiUdtI,ACC_239,BANK_BD_01,60814.00724960299,USD,2026-01-15 16:24:27,0,0
sdv-id-wqQZwu,ACC_123,BANK_BD_01,2426.0183288357816,USD,2026-03-23 06:39:26,1,0
sdv-id-RHsvsI,ACC_110,BANK_BD_02,1138860.7786901076,USD,2026-01-29 15:38:06,0,0
sdv-id-SkaLVx,ACC_112,BANK_UK_01,76154.18715337123,USD,2026-01-13 04:42:16,1,1
sdv-id-coWuKm,ACC_249,BANK_BD_01,187580.29235764183,USD,2026-01-16 06:40:12,0,0
sdv-id-KXeRco,ACC_175,BANK_UK_02,177437.28161406645,USD,2026-02-18 22:10:51,0,0
sdv-id-UQejnw,ACC_123,BANK_BD_01,471170.66314032197,USD,2026-03-06 17:37:43,0,0
sdv-id-FynkmE,ACC_220,BANK_UK_01,62880.874806174565,USD,2026-03-28 21:57:23,1,1
sdv-id-kBhhvY,ACC_125,BANK_BD_02,1073879.5743585918,USD,2026-02-04 05:52:03,0,0
sdv-id-SbABiV,ACC_289,BANK_BD_01,40129.88923188414,USD,2026-02-07 20:48:11,0,0
sdv-id-aWdLTK,ACC_177,BANK_UK_01,91971.12272166848,USD,2026-02-04 21:45:52,0,0
sdv-id-LlBXIn,ACC_100,BANK_BD_01,77223.01249444156,USD,2026-02-25 03:46:37,0,0
sdv-id-rWGwWT,ACC_122,BANK_UK_01,94376.83926712433,USD,2026-01-06 02:42:45,0,0
sdv-id-CzpBVg,ACC_239,BANK_UK_02,3745.1439085553584,USD,2026-01-10 23:50:44,0,0
sdv-id-DkoVul,ACC_271,BANK_UK_01,209825.11194199094,USD,2026-03-30 07:13:52,0,0
sdv-id-rzNwCt,ACC_100,BANK_UK_01,598139.2513166686,USD,2026-03-09 14:24:52,0,1
sdv-id-IQskgm,ACC_185,BANK_UK_02,77858.39714742117,USD,2026-01-31 08:42:41,0,1
sdv-id-NJdeQb,ACC_166,BANK_BD_01,76661.60542882337,USD,2026-03-25 20:52:25,0,0
sdv-id-xZSJAS,ACC_108,BANK_UK_02,5482.007254612496,USD,2026-01-26 11:03:15,0,0
sdv-id-XAlyzT,ACC_250,BANK_BD_01,91257.74144625606,USD,2026-01-10 19:52:39,0,0
