msg_id,sender_id,receiver_id,amount,currency,timestamp,device_ip,label
sdv-id-UBStqt,ACC_225,ENT_UK_005,352843.1805027876,USD,2026-01-15 19:58:06,8e08:6c83:6e95:40cb:adfd:221e:4618:91d4,2
sdv-id-DkoVul,ACC_271,ENT_UK_009,209825.11194199097,USD,2026-03-30 07:13:52,5c20:dc7f:3425:ab2c:2c81:7647:768d:b904,1
sdv-id-rzNwCt,ACC_100,ENT_UK_005,598139.2513166686,USD,2026-03-09 14:24:52,684f:4710:96cf:8a37:9e2a:d576:6d40:6da2,1
sdv-id-rOxscH,ACC_253,ENT_UK_009,27240.394811293765,USD,2026-01-11 22:47:21,32d6:bd50:2978:1f18:7fd2:eb66:38da:4be0,1
sdv-id-YGruGT,ACC_146,ENT_UK_006,859692.5163093023,USD,2026-01-28 03:44:13,91e0:8172:d875:a534:5d4:a758:5f8b:1429,2
sdv-id-xOkEKz,ACC_225,ENT_UK_001,160993.6876451625,USD,2026-02-11 01:31:21,acb4:3332:6d43:a37f:39ba:9182:4663:2f7,1
sdv-id-EYzZUF,ACC_253,ENT_UK_006,2701.6842209597503,USD,2026-01-02 23:18:30,e2b9:b941:e8cf:e11a:6207:30:6979:22ec,1
sdv-id-sMDAlO,ACC_142,ENT_UK_012,8819.429690304933,USD,2026-01-13 04:34:34,98f:7748:7de3:cc59:3199:3d78:2228:995b,1
sdv-id-eUTRjM,ACC_221,ENT_UK_005,117356.58720168434,USD,2026-03-01 01:20:07,151a:c60f:27ca:36fc:d38d:c4e1:ba97:d548,1
sdv-id-OpCkDZ,ACC_211,ENT_UK_004,11080.757688972692,USD,2026-03-20 16:11:39,4285:f3b8:c621:1f2:ea19:a52f:c17d:5e53,1
sdv-id-KUosHA,ACC_273,ENT_UK_013,270244.24496021005,USD,2026-02-26 08:12:02,b58f:2ca2:b315:1b0d:d0f1:d45e:9ca5:a43e,2
sdv-id-EFAxze,ACC_176,ENT_UK_012,21123.06803900614,USD,2026-02-12 13:26:31,b311:c352:f750:477c:a23a:6036:2323:3884,1
sdv-id-dmfxDU,ACC_162,ENT_UK_015,34411.15210132959,USD,2026-01-20 19:06:08,d194:e9d6:7f76:8261:6866:a4c2:dd7f:ad1d,1
sdv-id-mxSIdC,ACC_284,ENT_UK_013,8863.536255707038,USD,2026-02-10 23:10:40,54e4:3d2c:f0:37de:144b:bb03:b3fb:1817,1
sdv-id-pqspiD,ACC_176,ENT_UK_007,955.9300197578932,USD,2026-03-25 00:10:22,7dc1:8741:103e:1910:7c1b:82d9:30a6:6a88,1
sdv-id-ubKfSm,ACC_176,ENT_UK_017,146911.60386119178,USD,2026-03-02 08:33:59,a3e3:b8ac:8b87:ecd:9cc1:4582:b82d:1e2,1
sdv-id-bXlvbH,ACC_248,ENT_UK_005,101951.9606949243,USD,2026-01-23 19:04:28,5d99:40e:823f:e442:8ab2:b9dd:4d5:e5fb,2
sdv-id-HBbeTd,ACC_164,ENT_UK_014,94493.3339522406,USD,2026-01-20 00:47:16,48c4:4431:b5bc:1113:1baa:606c:2d5c:2dc5,1
sdv-id-gQVsAo,ACC_155,ENT_UK_008,17772.420594432955,USD,2026-03-12 07:23:06,5d21:ed4d:f1ff:3fcb:103f:f594:a841:ef8d,1
sdv-id-sAnukt,ACC_273,ENT_UK_005,1139.4299239167435,USD,2026-01-22 09:15:23,91f0:312:13d8:dd8b:c214:c001:b5a1:4dcb,1
sdv-id-yfvMVs,ACC_128,ENT_UK_001,20078.140338703855,USD,2026-01-22 20:41:36,b4d9:940c:54a0:76a8:895b:2128:278:68b4,1
sdv-id-lAJvkL,ACC_176,ENT_UK_007,78945.13874902023,USD,2026-03-05 16:08:16,3f78:45a7:af1e:550:61f4:6c3b:3461:b9cd,1
sdv-id-lBKKsE,ACC_248,ENT_UK_015,83844.42807883366,USD,2026-01-17 11:02:05,edd2:b8b5:ebf6:339e:e2dd:4407:7c39:d868,2
sdv-id-HnSxBC,ACC_146,ENT_UK_013,28044.90325836072,USD,2026-01-27 02:20:09,b46b:7691:a64b:106b:425f:bf86:44c9:967f,1
sdv-id-RniEPm,ACC_171,ENT_UK_017,75257.02289073482,USD,2026-03-03 20:07:58,cdc8:c5a7:cd6a:6c62:cc46:7d5e:c82:1d44,2
sdv-id-NlZxRy,ACC_196,ENT_UK_016,747933.6491051388,USD,2026-03-17 08:20:48,b196:29f2:6a5d:26af:91f1:155a:dffb:115b,1
sdv-id-gOijaV,ACC_176,ENT_UK_007,74166.09287740184,USD,2026-03-13 05:14:04,5b98:6177:5c5e:fa7e:ac1b:26d9:154c:2215,1
sdv-id-DfnKUN,ACC_256,ENT_UK_016,351144.030300225,USD,2026-02-23 18:25:11,4f86:a9bf:75eb:5ba:7e2f:ffd3:52bc:8f4d,1
sdv-id-QyFifJ,ACC_142,ENT_UK_012,81564.01248701093,USD,2026-02-20 00:00:27,9d0:d26:be83:dfed:54c:eb2c:8f7e:a66a,1
sdv-id-umiutQ,ACC_256,ENT_UK_004,2752.966870265593,USD,2026-01-09 09:56:20,6e82:1ace:a007:d969:a481:9761:f68a:4b30,1
sdv-id-ydiWAs,ACC_199,ENT_UK_012,496920.0428069775,USD,2026-01-21 10:33:31,b8cf:9a6b:eff3:5884:290d:ce35:5ddd:248d,1
sdv-id-DgLKPi,ACC_171,ENT_UK_014,3006.871436966715,USD,2026-03-26 15:40:04,1221:4ef8:3a5a:e118:bc95:5bf8:9ed:37a5,1
sdv-id-mYiYOB,ACC_262,ENT_UK_014,62709.130452068945,USD,2026-02-13 01:02:30,e482:3366:6f18:8b86:a35:26c0:d347:e83a,1
sdv-id-Ezppwn,ACC_186,ENT_UK_007,627370.3422950875,USD,2026-03-27 02:11:08,916:4b3e:a126:f466:d8e1:e8be:b217:a742,2
sdv-id-zPSlRx,ACC_187,ENT_UK_009,942.2586739329116,USD,2026-02-09 23:10:56,4dba:2f1:9be:a790:a092:9c7c:58bf:376f,1
sdv-id-BckGFj,ACC_187,ENT_UK_017,1187.6691319437969,USD,2026-02-03 08:43:07,3c1a:6074:de35:30b7:248d:e1ec:3ae3:d35d,1
sdv-id-QUyWvd,ACC_176,ENT_UK_004,974.346285971687,USD,2026-01-27 16:08:33,a002:e029:bd94:19e1:67e2:39fa:beb7:694b,1
sdv-id-KEiVor,ACC_243,ENT_UK_003,211566.91399314167,USD,2026-02-16 05:59:33,8574:deff:677c:71e:911b:17e4:34a9:f4f6,1
sdv-id-tOvEla,ACC_181,ENT_UK_018,26222.213425407437,USD,2026-03-17 20:59:28,ba5c:f311:997f:22e1:6927:372a:a678:ba2e,1
sdv-id-pSNpOr,ACC_160,ENT_UK_016,170177.31353864985,USD,2026-02-17 02:54:45,80c7:5dc:1cd7:5ba3:9bd8:d5af:955:b10e,2
sdv-id-TYejhq,ACC_129,ENT_UK_007,171716.0008587552,USD,2026-01-17 03:52:58,bfb7:b747:676b:a52a:4940:ed24:942f:dedf,1
sdv-id-BfUdhU,ACC_181,ENT_UK_009,332880.70087118977,USD,2026-03-30 08:40:54,4843:da7d:e219:9266:2e5d:9198:14f7:a766,1
