msg_id,sender_id,receiver_id,amount,currency,timestamp,device_ip
sdv-id-BTXGVS,ACC_201,ENT_UK_010,1555594.4562682942,USD,2026-02-11 20:24:40,93d3:8a50:11d3:bbc:a60:ea2b:3cdc:4371
sdv-id-KXflHB,ACC_241,ENT_UK_017,2467.043269096626,USD,2026-03-25 17:13:11,ce35:8265:9ab2:833c:c67f:938b:fb8e:eec1
sdv-id-gIShBE,ACC_296,ENT_UK_003,13868.069403505422,USD,2026-03-25 20:31:59,2b63:3b4f:eaba:fd8e:3c89:596:594a:5861
sdv-id-UBStqt,ACC_225,ENT_UK_005,352843.1805027876,USD,2026-01-15 19:58:06,8e08:6c83:6e95:40cb:adfd:221e:4618:91d4
sdv-id-FynkmE,ACC_220,ENT_UK_003,62880.874806174565,USD,2026-03-28 21:57:23,298c:77c7:101e:f0e6:d92:38e1:70ca:8a16
sdv-id-rWGwWT,ACC_122,ENT_UK_002,94376.83926712432,USD,2026-01-06 02:42:45,6bda:604e:922e:ac15:a758:d780:d0c8:82bd
sdv-id-CzpBVg,ACC_239,ENT_UK_016,3745.1439085553584,USD,2026-01-10 23:50:44,c1d6:93f:4961:a4aa:6a32:25a0:6e3a:fca1
sdv-id-DkoVul,ACC_271,ENT_UK_009,209825.11194199097,USD,2026-03-30 07:13:52,5c20:dc7f:3425:ab2c:2c81:7647:768d:b904
sdv-id-rzNwCt,ACC_100,ENT_UK_005,598139.2513166686,USD,2026-03-09 14:24:52,684f:4710:96cf:8a37:9e2a:d576:6d40:6da2
sdv-id-IQskgm,ACC_185,ENT_UK_016,77858.39714742117,USD,2026-01-31 08:42:41,7719:7e25:26f:8b21:9618:d5b2:4ca6:c69d
sdv-id-iHrFSi,ACC_185,ENT_UK_004,11214.797489565302,USD,2026-03-22 02:31:03,88a2:2b1e:b5ce:a1e7:ced1:47e5:3422:aa0
sdv-id-ZYGRxW,ACC_103,ENT_UK_002,269980.5130998664,USD,2026-01-14 09:01:55,522f:d5ca:ffab:f791:4c82:4c97:c225:a5af
sdv-id-oQZrsO,ACC_258,ENT_UK_016,29165.153056805193,USD,2026-02-10 05:01:56,2bad:cf46:4386:156f:9ab8:b079:16a8:7e35
sdv-id-TrOYsb,ACC_224,ENT_UK_009,22730.40330875993,USD,2026-03-04 09:04:19,7a2a:76be:7397:19:7c40:be36:ad79:992f
sdv-id-rOxscH,ACC_253,ENT_UK_009,27240.394811293765,USD,2026-01-11 22:47:21,32d6:bd50:2978:1f18:7fd2:eb66:38da:4be0
sdv-id-LPnayA,ACC_158,ENT_UK_017,1480.865712959163,USD,2026-03-31 10:10:38,7ac4:2859:1160:3e30:f02e:ead6:24c1:2d01
sdv-id-tEIxWz,ACC_114,ENT_UK_009,67138.49228115383,USD,2026-02-20 01:08:13,51a7:3475:72af:491d:98e3:b0aa:6104:41f4
sdv-id-NBqWwI,ACC_224,ENT_UK_013,594615.2647445254,USD,2026-01-22 06:41:19,410a:b35e:fa1b:1ddd:65da:cf9f:2799:a63d
sdv-id-MAMYkP,ACC_117,ENT_UK_007,542303.3450364762,USD,2026-03-01 12:17:53,6101:187:bb72:a33e:32f0:2b8:5bf6:368c
sdv-id-YGruGT,ACC_146,ENT_UK_006,859692.5163093023,USD,2026-01-28 03:44:13,91e0:8172:d875:a534:5d4:a758:5f8b:1429
sdv-id-zURVIi,ACC_260,ENT_UK_018,52931.746331234586,USD,2026-03-17 04:30:32,78e7:b814:9d68:4a9e:20ac:e790:bc7d:7f21
sdv-id-cnCfWz,ACC_149,ENT_UK_016,24257.974789586235,USD,2026-03-02 04:19:15,462e:6382:8435:5830:cec2:f1ca:2271:72cb
sdv-id-vkCnEy,ACC_250,ENT_UK_005,102712.57339600525,USD,2026-03-18 00:10:29,8633:598e:707c:9fba:f947:53c5:a0c8:a1e7
sdv-id-xOkEKz,ACC_225,ENT_UK_001,160993.6876451625,USD,2026-02-11 01:31:21,acb4:3332:6d43:a37f:39ba:9182:4663:2f7
sdv-id-McJTYT,ACC_116,ENT_UK_005,1440.014377491574,USD,2026-01-30 14:54:07,45ba:3dce:e0eb:7b73:1a29:f2e8:ec94:145c
sdv-id-yzgBur,ACC_185,ENT_UK_002,1180.061918681264,USD,2026-02-15 18:22:00,8369:773:2133:756a:8a25:1714:4e47:2345
sdv-id-KBSugE,ACC_118,ENT_UK_005,159039.64623616324,USD,2026-03-05 00:40:23,91eb:ce8b:3d67:93c8:e9d9:b134:9017:ff80
sdv-id-EYzZUF,ACC_253,ENT_UK_006,2701.6842209597503,USD,2026-01-02 23:18:30,e2b9:b941:e8cf:e11a:6207:30:6979:22ec
sdv-id-sMDAlO,ACC_142,ENT_UK_012,8819.429690304933,USD,2026-01-13 04:34:34,98f:7748:7de3:cc59:3199:3d78:2228:995b
sdv-id-shubnd,ACC_120,ENT_UK_006,724800.7114626642,USD,2026-01-12 13:39:48,d04b:3f85:d68f:2bbb:968b:cf23:a47:dd6d
sdv-id-eUTRjM,ACC_221,ENT_UK_005,117356.58720168434,USD,2026-03-01 01:20:07,151a:c60f:27ca:36fc:d38d:c4e1:ba97:d548
sdv-id-wIaixJ,ACC_233,ENT_UK_008,271707.36920517427,USD,2026-03-30 13:45:28,4e75:43b8:aa27:f9e2:8578:b450:881b:5e89
sdv-id-SsYgDd,ACC_101,ENT_UK_005,340593.83572914783,USD,2026-02-02 20:28:26,e861:469d:d975:1c7f:48e2:2682:fdc7:ed54
sdv-id-OpCkDZ,ACC_211,ENT_UK_004,11080.757688972692,USD,2026-03-20 16:11:39,4285:f3b8:c621:1f2:ea19:a52f:c17d:5e53
sdv-id-IFnOCh,ACC_246,ENT_UK_015,2215486.777028343,USD,2026-03-27 13:39:21,9992:d249:8350:ac67:ec69:acd3:ac24:8afc
sdv-id-gdQFkv,ACC_130,ENT_UK_018,87380.62925710707,USD,2026-02-28 16:10:03,3a17:cbd4:55:ea28:811e:4c65:6b30:e666
sdv-id-eQNtcD,ACC_158,ENT_UK_017,500688.11124695995,USD,2026-01-02 12:46:35,e4f9:16e4:60ba:369d:4a1b:dca4:cf5e:b860
sdv-id-ruMorw,ACC_245,ENT_UK_001,26603.328994450618,USD,2026-01-09 19:55:30,89d9:1e6b:9a2c:74d4:58a9:3022:1f:eafc
sdv-id-FXVpKJ,ACC_173,ENT_UK_017,921.2327488675028,USD,2026-01-12 18:22:23,dc79:b0f2:3340:fdfe:f13d:f875:d04c:2b6e
sdv-id-KUosHA,ACC_273,ENT_UK_013,270244.24496021005,USD,2026-02-26 08:12:02,b58f:2ca2:b315:1b0d:d0f1:d45e:9ca5:a43e
sdv-id-hURNiv,ACC_117,ENT_UK_003,115973.48394531802,USD,2026-02-02 03:51:11,77b2:2b53:5c3:a221:f675:509b:8aed:8b57
sdv-id-REszsP,ACC_120,ENT_UK_007,187811.69248601596,USD,2026-01-26 17:59:50,a6a6:6b7b:ae1d:1877:5d46:5769:d88:2408
