txn_id,account_id,device_id_hash,ip_address,proxy_vpn_flag,login_entropy_score
sdv-id-lejATy,ACC_286,DEV_HASH_008,1679:b34b:7ae2:5191:a82b:a95c:d981:7706,0,0.38803645497407585
sdv-id-ZqmraN,ACC_251,DEV_HASH_002,9b39:3914:6bad:8a16:c70a:52ae:eca9:2de5,0,0.16721030856554614
sdv-id-JPhpck,ACC_228,DEV_HASH_005,60b4:3bc6:fc55:e5b7:4802:cc69:31fc:7661,0,0.011143623010316087
sdv-id-dIpWjh,ACC_143,DEV_HASH_025,c3bf:aa7e:19d2:75d2:d91d:9a03:624e:1e5d,0,0.030980062460119515
sdv-id-BTXGVS,ACC_201,DEV_HASH_034,93d3:8a50:11d3:bbc:a60:ea2b:3cdc:4371,0,0.06169718641526877
sdv-id-iPGcCh,ACC_242,DEV_HASH_030,8a63:b1cb:2fc8:8c92:8f2a:8b91:7102:3fdf,0,0.4812057344715456
sdv-id-rMRJeX,ACC_166,DEV_HASH_001,4b6b:ddc0:6d55:37c1:59ee:ed86:e8f0:d092,0,0.04091981942301893
sdv-id-GqboLQ,ACC_174,DEV_HASH_011,eb88:5a5c:d339:80a0:87a7:968d:c18:e521,0,0.7671080555238008
sdv-id-BCNtAo,ACC_141,DEV_HASH_040,c16d:98c8:1c2a:56ed:33b1:f9e0:b095:800,1,0.9080895010899119
sdv-id-IsXqUx,ACC_201,DEV_HASH_032,cb66:2d5:53a6:a457:f827:13d7:80b4:74d6,0,0.09933432969864658
sdv-id-IDnzdy,ACC_161,DEV_HASH_012,3b3a:3b65:b3e0:d3b8:da7c:f56e:11d1:f672,0,0.07207165247501693
sdv-id-HLraYJ,ACC_251,DEV_HASH_003,b1f1:1eff:d4e6:752:951e:400c:ad88:35df,0,0.2512095406896769
sdv-id-iiCVGP,ACC_170,DEV_HASH_011,bad7:ca63:88e:30b5:94:ef53:5ccd:e9c1,1,0.4133533537825155
sdv-id-rLDFzW,ACC_162,DEV_HASH_015,9597:2e87:f42f:49ca:92d1:c475:570c:2a21,0,0.304358909306722
sdv-id-SEQFSU,ACC_137,DEV_HASH_009,a975:ef15:35e9:bcfd:5189:5fd4:3565:8f37,0,0.08336003996105834
sdv-id-ViWRNf,ACC_240,DEV_HASH_004,fd6c:51c4:6a4d:ae83:504b:468:5970:32f9,0,0.08062150848827768
sdv-id-KXflHB,ACC_241,DEV_HASH_025,ce35:8265:9ab2:833c:c67f:938b:fb8e:eec1,0,0.179992248559585
sdv-id-jvIcoI,ACC_208,DEV_HASH_030,a22e:9f0a:461c:cb73:bc46:7c49:4a8c:89c1,0,0.355246166107918
sdv-id-bwuELc,ACC_155,DEV_HASH_026,1b18:d6a4:f2c7:c5b3:40f6:a78f:5ed2:7287,0,0.1934484269529041
sdv-id-ZYnXss,ACC_224,DEV_HASH_025,6276:8c20:b896:a361:7916:60cf:f871:f589,1,0.8183448094806418
sdv-id-MxijsA,ACC_189,DEV_HASH_002,e659:2967:f9fd:e0e5:12f2:ff50:da1e:99d8,0,0.2073010351779024
sdv-id-oEdSyl,ACC_134,DEV_HASH_001,c656:a063:b7c4:ee5d:fb72:ca7d:81de:b381,0,0.03288877061685418
sdv-id-gIShBE,ACC_296,DEV_HASH_011,2b63:3b4f:eaba:fd8e:3c89:596:594a:5861,0,0.1192664250553083
sdv-id-VjLsNK,ACC_206,DEV_HASH_038,cd1a:f49f:c234:580e:2c15:b2ae:7457:d679,0,0.2237293967734101
sdv-id-NhnryO,ACC_166,DEV_HASH_021,d041:8ba2:5cb3:31:49c2:a89a:ba34:c4f1,0,0.0687186901035749
sdv-id-qcRyTe,ACC_116,DEV_HASH_034,63ad:30e3:5d4b:12e3:665c:62d8:ffb3:ae97,0,0.4403595591100318
sdv-id-npfJqj,ACC_199,DEV_HASH_009,1cec:e564:936b:a258:7ba2:ac99:b342:b132,0,0.3480393819167504
sdv-id-EUpAVh,ACC_192,DEV_HASH_001,fd52:d507:3c95:9b06:6f08:fb5a:8ed0:644d,1,0.15146358950566816
